Id;Value;Dimension 1;Dimension 2
152;JOHNRYDER;9.0616;9.871
153;JONAS;8.5532;9.0397
154;JUANGABRIEL;8.9451;10.7965
155;JUNTOSSEPUEDE;8.0038;12.0496
156;KANSASCAUCUS;7.1295;11.4541
157;KENLANGONE;8.8087;10.0943
158;KENTUCKYDERBY;8.2491;12.0273
159;KHIZRKHAN;7.7676;10.0546
160;LABORDAY;9.5446;9.3127
161;LAFLOOD;7.0547;9.5955
162;LAUDATOSI;9.295;9.8189
163;LAURENCE;9.8992;9.2655
164;LAURENCETRIBE;9.6711;11.5434
165;LAWANDORDER;9.5226;10.5831
166;LEADRIGHT2016;8.5248;12.0521
167;LESM;7.8511;9.0769
168;LGBT;5.6594;9.4764
169;LIBRARIANOFCONGRESS;8.8477;16.2134
170;LIGHTWEIGHTSENATORMARCORUBIO;8.1689;23.8908
171;LITTLEMARCO;10.3028;10.5757
172;LONESTARSTATE;9.8999;11.3424
173;LOVETRUMPSHATE;10.963;11.938
174;LSSC;5.2657;9.536
175;LYINGTED;9.1262;9.6625
176;MADEFORHISTORY;9.6863;12.1266
177;MADEINAMERICA;9.7328;11.4194
178;MAGA;7.021;9.0794
179;MAHALO;8.5494;9.1216
180;MAITNERSTRONG;10.9382;11.4268
181;MAKEAMERICAGREATAGAIN;8.2893;17.7122
182;MAKEAMERICASAFEAGAIN;8.2238;16.9851
183;MAKERSANDTAKERS;9.1555;12.794
184;MAKEYOUTUBEGREATAGAIN;8.0753;17.933
185;MARYBRIGIDMCMANAMON;8.1499;16.4392
186;MATTSCHLAPP;8.2213;10.799
187;MAYDAY;7.7273;9.1464
188;MDPRIMARY;10.0358;9.4764
189;MDW;4.8273;9.5782
190;MEDIA;9.2521;8.9132
191;MEDIAFRAUD;8.8004;10.1241
192;MEETTHETRUMPS;9.487;11.6849
193;MEGYNKELLYPRESENTS;7.9521;15.665
194;MEMORIALDAY;10.2387;10.2878
195;MEXICO;8.1125;9.1886
196;MICHAELBROWN;9.6325;11.2481
197;MICHAELMOORE;9.6374;11.0918
198;MIKEPENCE;8.6769;9.7792
199;MOREINCOMMON;9.0363;11.0199
200;MORMON;8.458;8.9256
201;MORNINGJOE;9.0179;10.1663
202;MOTHERSDAY;11.1148;9.7742
203;MOTHERSOFTHEMOVEMENT;7.8195;16.9851
204;MSM;4.9445;9.4839
205;MSNBCTOWNHALL;8.9225;12.0372
206;MSPRIMARY;10.2208;9.4715
207;MYTEACHERISWEIRD;9.2094;13.6328
208;NAACP107;6.8403;10.062
209;NABJNAHJ16;6.1356;10.6998
210;NASCAR;9.4492;8.9479
211;NATIONALVOTERREGISTRATIONDAY;8.7236;23.273
212;NATO;9.0573;8.8387
213;NATURALBORN;9.4732;10.4715
214;NBCNEWSFORUM;9.2052;11.3995
215;NEBRASKAPRIMARY;9.6565;12.8908
216;NEILCAVUTO;9.7134;10.2432
217;NETNEUTRALITY;9.4774;11.4888
218;NEVADACAUCUS;8.3223;11.3797
219;NEVERCRUZ;8.534;9.9181
220;NEVERDEMS;9.1468;9.7891
221;NEVERFORGET;8.6548;10.6104
222;NEVERHILLARY;10.0113;10.9702
223;NEVERTRUMP;10.0929;10.0298
224;NEWDAY;9.1598;9.0645
225;NEWHAMPSHIRE;9.61;11.1266
226;NEWYORK;8.2155;9.402
227;NEWYORKVALUES;8.9909;11.8337
228;NHPOLITICS;8.7353;10.3002
229;NHPRIMARY;10.1449;9.4194
230;NOBILLNOBREAK;8.6128;11.8809
231;NOLOYALTY;7.9037;9.9007
232;NOMORESILENCE;9.5495;11.6104
233;NOTONEMORE;9.8153;9.8213
234;NPS100;5.491;9.8139
235;NVCAUCUS;7.9277;9.8015
236;NYCPRIDE;9.1633;9.4764
237;NYPRIMARY;9.4108;9.4938
238;OBAMACARE;9.7473;9.6526
239;OHHILLYES;8.5577;10.0868
240;OLMSTEAD;10.1326;9.4069
241;ONTHERECORD;10.2334;10.4293
242;OPENINGCEREMONY;9.4547;12.9206
243;OPIOIDAWARENESSWEEK;8.3618;16.5335
244;ORLANDO;9.8167;9.1042
245;ORLANDOUNITED;10.095;11.6253
246;ORPRIMARY;10.4328;9.3772
247;PAPRIMARY;9.3444;9.4318
248;PHILANDOCASTILE;10.053;13.0943
249;POLITICIAN;9.5206;10.1241
250;POLLS;6.7658;9.3027
251;POTUS;8.0292;9.0794
252;PRESIDENTTRUMP;10.346;12.2804
253;PRIMARY;9.8427;8.8883
254;PRIMARYDAY;9.6153;9.9603
255;PRINCE;9.8388;8.8511
256;PULSE;7.6908;9.2407
257;PURPLEHEARTDAY;9.5168;12.2432
258;RACINE;10.3634;8.7692
259;REPMIKEKELLY;7.9537;11.4442
260;RESTORETHEVRA;9.5745;11.5782
261;RIGGEDSYSTEM;9.0032;11.4864
262;RIO2016;6.9323;9.6998
263;RIP;7.2921;9.0794
264;RIPRIMARY;9.612;9.3945
265;RNC;7.2427;9.1216
266;RNCINCLE;9.0834;9.4417
267;RNCWITHBERNIE;9.2804;11.737
268;ROBOTRUBIO;8.678;10.2407
269;ROGERAILES;9.9796;9.8486
270;ROGERSTONE;9.9737;9.7618
271;ROLLCALLVOTE;8.9631;11.3821
272;ROSANELLEATON;9.995;11.5161
273;RTM2016;6.6006;9.7866
274;RUBIO;8.5228;9.0447
275;SALLYRIDEDAY;9.637;11.1191
276;SAVEELEPHANTS;8.51;11.8412
277;SAYHERNAME;9.4345;9.9404
278;SB50;3.1548;9.8412
279;SCOTUS;8.2932;9.206
280;SCPRIMARY;10.0304;9.4764
281;SECONDAMENDMENT;8.6307;13.0571
282;SENDDONALDTOSPACE;8.6848;14.6377
283;SHESWITHUS;7.9392;10.3598
284;SHEWON;8.2846;9.2407
285;SITIN;8.4907;8.9578
286;SLIPPING;7.296;9.8263
287;SMALLBIZ;7.7231;9.9082
288;SMALLBIZWEEK;7.7987;11.6551
289;SOTU;7.793;9.0993
290;SOUTHCAROLINA;9.84;11.4839
291;SOUTHCAROLINAPRIMARY;9.3749;16.4715
292;SREBRENICA;9.4181;10.0422
293;STANDTOGETHER;9.755;11.7816
294;STANDWITHLOUISIANA;8.2955;15.2829
295;STANLEYCUP;9.9432;10.2878
296;STATEHOOD;8.8248;9.8213
297;STOPCOMMONCORE;8.9084;12.5707
298;STOPGUNVIOLENCE;9.0402;13.2581
299;STOPTHEHATE;9.3367;10.5087
300;STRONGERTOGETHER;8.459;13.8238
301;SUPERBOWLSUNDAY;9.323;13.1563
302;SUPERSATURDAY;9.6715;11.4615
303;SUPERTUESDAY;9.8533;10.9032
304;TAXPLAN;8.7949;9.263
305;TBT;4.8136;9.4119
306;TEACHERAPPRECIATIONDAY;9.6627;18.1663
307;TEACHERS4TRUMP;10.2043;12.2159
308;TEAMTRUMP;10.5153;9.5285
309;TEAMUSA;9.6221;9.0546
310;TED;7.4066;9.1042
311;TEDCRUZ;9.0695;9.3201
312;TERENCECRUTCHER;8.567;13.062
313;THANKAVET;9.1852;9.8288
314;THANKSOBAMA;8.824;10.7171
315;THEDONALD;9.7776;9.6377
316;THETONIGHTSHOW;8.2082;12.6675
317;TITLEIX;7.8795;9.3275
318;TPP;5.1549;9.4342
319;TRUMP;9.47;8.8189
320;TRUMP2016;8.253;10.1191
321;TRUMP360;8.1526;9.7717
322;TRUMP4PRESIDENT;10.3127;13.0422
323;TRUMP4VETS;9.6809;10.2655
324;TRUMPCOUNTRY;10.4254;10.9578
325;TRUMPDALLAS;10.5767;10.5906
326;TRUMPDOG;9.9443;9.4268
327;TRUMPFORPRESIDENT;10.2662;14.464
328;TRUMPINEVERETT;10.1614;12.3226
329;TRUMPISWITHYOU;9.7673;12.5955
330;TRUMPLV;9.2282;9.1985
331;TRUMPMOVEMENT;9.7651;11.8263
332;TRUMPNV;9.9161;9.0993
333;TRUMPPENCE16;9.9101;11.2283
334;TRUMPPENCE2016;9.3803;12.6278
335;TRUMPSUPPORTERS;9.4119;13.1638
336;TRUMPTRAIN;10.7868;9.8958
337;TRUMPWAIKIKI;8.9424;11.3797
338;TRUMPWON;10.5535;9.3524
339;TRUMPYOURSELF;9.7685;11.871
340;TURKEY;8.7325;9.0993
341;TURNUPTOVOTE;8.4926;11.3077
342;UAW;5.9488;9.3548
343;UGPRIDE2016;8.4221;10.9901
344;UNDERSTANDSLAVERY;9.4155;14.33
345;UNGA;7.7038;9.1811
346;UPUPUP;3.7341;9.8065
347;USA;7.2054;9.2109
348;USMC2016;6.1923;10.2432
349;UT;4.8825;9.4789
350;UTAH;7.3227;9.139
351;UTAH4TRUMP;9.2602;10.2978
352;UTAHCAUCUS;7.6427;10.3945
353;UTAHPRIMARY;9.9307;10.2605
354;UTCAUCUS;7.5354;9.6973
355;VATICANWALLS;9.0377;11.1985
356;VETERANS;10.8778;9.0868
357;VIRWINIA;8.6579;9.536
358;VOTERFRAUD;9.957;9.9355
359;VOTERREGISTRATIONDAY;10.0077;16.4392
360;VOTERSSPEAK;9.9458;10.4392
361;VOTETRUMP;10.6866;9.5261
362;VOTETRUMP2016;9.5005;11.7171
363;VOTETRUMPIL;10.7351;10.3226
364;VOTETRUMPMA;10.9912;10.335
365;VOTETRUMPMI;10.3524;10.4045
366;VOTETRUMPNC;11.0815;10.2804
367;VOTETRUMPNH;10.8588;10.3127
368;VOTETRUMPNV;10.6361;10.33
369;VOTETRUMPNY;11.2259;10.1787
370;VOTETRUMPNYHTTPS;9.9424;13.6799
371;VOTETRUMPSC;10.7113;10.3449
372;VOTETRUMPVT;9.9141;10.3995
373;VOTETRUMPWI;10.5148;10.402
374;WAKEUPAMERICA;9.496;11.6849
375;WASHINGTONDC;9.4362;11.2531
376;WATCH;7.8207;9.201
377;WATTERSWORLD;9.661;11.0968
378;WAUSAU;7.366;9.201
379;WCS16;4.909;9.7246
380;WEAREBERNIE;9.2656;10.3921
381;WEMADEHISTORY;10.3611;11.4789
382;WESTERNTUESDAY;10.4386;12.0273
383;WESTVIRGINIA;9.6407;11.263
384;WETRUMPHATE;11.05;10.1712
385;WEWANTTRUMP;10.3657;10.5558
386;WH;2.772;9.8313
387;WHCD;5.3294;9.5112
388;WHD;4.2168;9.6427
389;WHERESHILLARY;9.9234;11.6228
390;WIBACKHER;9.3092;10.0174
391;WIMBLEDON;9.2682;9.9256
392;WIPRIMARY;9.4593;9.4417
393;WISCONSIN;8.2636;9.8387
394;WITH_CRUZ_YOU_LOSE;8.5012;15.8759
395;WOMANCARD;10.0731;9.5385
396;WOMEN4TRUMP;10.2626;10.4864
397;WOMEN4TTUMP;9.2172;10.7122
398;WOMENSEQUALITYDAY;9.2736;14.4243
399;WORK;6.6618;9.2134
400;WORLDREFUGEEDAY;8.9376;13.1663
401;YOUTHDAY;8.4764;9.4591
402;YUGE;6.0971;9.3623
